order_id,restaurant_id,customer_id,carrier_id,customer_lat,customer_lon,date,time,is_peak_time,is_weekend,carrier_vehicle,shopping_cart,coupon_discount,order_price,shortest_distance_to_customer,travel_time_minutes,restaurant_rating,delivery_charges
ORD076664,REST0057,CUST08467,COUR2603,-37.7988986,144.99431819999998,2020-11-10,12:59:20,1,0,Car,"[('chaat', 3), ('chocolate sandwiches', 2), ('cheese sandwiches', 3)]",0,114.48,3564,9,6.26,4.967
ORD110076,REST1634,CUST08144,COUR0397,-37.81632329999999,145.00858080000003,2020-08-30,04:36:55,0,1,Motorbike,"[('pasta', 2), ('ice tea', 1)]",10,37.755,2382,5,6.64,4.4758
ORD012694,REST1634,CUST02832,COUR2884,-37.8189252,144.9957258,2020-11-01,02:34:17,0,1,Motorbike,"[('ice tea', 2), ('potato wedges', 3)]",0,80.98,1109,2,6.64,3.9579
ORD138306,REST0732,CUST03215,COUR2682,-37.8110018,144.92660890000002,2020-06-01,01:23:04,0,0,Bike,"[('paneer burger', 1), ('pasta', 2)]",0,19.98,8775,44,5.58,7.4153
ORD072379,REST0057,CUST11538,COUR1683,-37.806124700000005,144.9979428,2020-03-31,21:57:21,0,0,Bike,"[('chocolate sandwich', 2), ('chilli cheese', 1), ('cheese sandwich', 1), ('cheese sandwiches', 3)]",0,78.03,3451,17,7.82,4.5047
ORD146371,REST0337,CUST09924,COUR3294,-37.809018200000004,144.90223669999997,2020-06-25,16:25:03,0,0,Bike,"[('bengali pulao', 3), ('fish finger', 3), ('chicken curry', 3), ('fish cutlet', 3)]",0,168.99,7728,39,7.88,6.6425
ORD045148,REST1136,CUST06604,COUR4575,-37.8247896,144.982697,2020-04-23,06:00:00,0,0,Motorbike,"[('beer', 2), ('matka kulfi', 1), ('palak pakoda', 3), ('mango lassi', 3)]",20,95.192,4036,8,7.51,3.2224
ORD174789,REST0732,CUST06107,COUR1669,-37.8047473,144.94521559999998,2020-03-16,21:33:37,0,0,Bike,"[('waffles', 3), ('sandwiches', 2)]",40,66.9,6708,34,6.97,6.1236
ORD320128,REST0057,CUST13510,COUR3095,-37.8239546,144.9374274,2020-11-21,21:17:48,0,1,Bike,"[('chaat', 2), ('chilli cheese', 1)]",0,31.9,3755,19,6.26,5.156
ORD062653,REST0057,CUST00503,COUR1213,-37.798916999999996,144.9356823,2020-04-26,09:57:21,0,1,Car,"[('corn sandwich', 2), ('chaat', 1), ('lassi', 1)]",0,73.7,3356,8,7.82,4.6612
ORD058211,REST0732,CUST08633,COUR4948,-37.801083899999995,144.9530168,2020-07-16,12:00:00,1,0,Bike,"[('coffee', 3), ('paneer burger', 2), ('pasta', 1), ('waffles', 2)]",0,90.08,5668,28,6.97,7.4541
ORD242981,REST1634,CUST13233,COUR1001,-37.821025,144.9784257,2020-03-03,11:48:07,0,0,Motorbike,"[('supreme pizza', 1), ('thin crust pizza', 2), ('potato wedges', 2)]",0,77.68,1018,2,6.64,3.1765
ORD075180,REST0337,CUST04010,COUR1832,-37.8043872,144.94782869999997,2020-07-27,23:44:10,0,0,Motorbike,"[('bengali pulao', 1), ('aloo posto', 3), ('bhetki paturi', 1)]",0,33.91,1488,3,6.3,2.9603
ORD091037,REST1136,CUST00120,COUR3147,-37.8050179,144.9678415,2020-05-01,00:47:28,0,0,Car,"[('palak pakoda', 3), ('thandai', 3)]",0,119.07,1816,4,9.39,2.9185
ORD104658,REST1634,CUST08261,COUR4050,-37.8207232,144.9574815,2020-06-12,20:10:32,0,0,Car,"[('pasta', 1), ('supreme pizza', 3), ('thin crust pizza', 2), ('ice tea', 2)]",45,65.576,2626,6,5.31,3.7077
ORD081111,REST1634,CUST00529,COUR4600,-37.8161124,144.9624868,2020-01-22,22:44:50,0,0,Car,"[('supreme pizza', 1), ('thin crust pizza', 2)]",0,51.44,2275,5,6.64,3.5699
ORD168542,REST0057,CUST13874,COUR2476,-37.8164624,144.97100659999998,2020-10-01,18:15:49,1,0,Bike,"[('corn sandwich', 1), ('cheese sandwich', 3), ('potato twister', 3), ('chaat', 3)]",0,115.46,1015,5,7.82,5.0655
